"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"chemical_shift"	"multiplicity"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"ADG10003u_007"	"ADG10003u_008"	"ADG10003u_009"	"ADG10003u_010"	"ADG10003u_015"	"ADG10003u_016"	"ADG10003u_017"	"ADG10003u_021"	"ADG10003u_022"	"ADG10003u_023"	"ADG10003u_051"	"ADG10003u_052"	"ADG10003u_053"	"ADG10003u_066"	"ADG10003u_067"	"ADG10003u_071"	"ADG10003u_072"	"ADG10003u_073"	"ADG10003u_087"	"ADG10003u_088"	"ADG10003u_089"	"ADG10003u_097"	"ADG10003u_098"	"ADG10003u_112"	"ADG10003u_113"	"ADG10003u_114"	"ADG10003u_115"	"ADG10003u_116"	"ADG10003u_117"	"ADG10003u_118"	"ADG10003u_120"	"ADG10003u_151"	"ADG10003u_152"	"ADG10003u_153"	"ADG10003u_155"	"ADG10003u_156"	"ADG10003u_160"	"ADG10003u_161"	"ADG10003u_162"	"ADG10003u_166"	"ADG10003u_167"	"ADG10003u_168"	"ADG10003u_177"	"ADG10003u_178"	"ADG10003u_179"	"ADG10003u_185"	"ADG10003u_186"	"ADG10003u_187"	"ADG19007u_011"	"ADG19007u_012"	"ADG19007u_013"	"ADG19007u_014"	"ADG19007u_015"	"ADG19007u_016"	"ADG19007u_017"	"ADG19007u_071"	"ADG19007u_072"	"ADG19007u_073"	"ADG19007u_074"	"ADG19007u_075"	"ADG19007u_076"	"ADG19007u_077"	"ADG19007u_091"	"ADG19007u_092"	"ADG19007u_093"	"ADG19007u_094"	"ADG19007u_095"	"ADG19007u_096"	"ADG19007u_097"	"ADG19007u_161"	"ADG19007u_162"	"ADG19007u_163"	"ADG19007u_164"	"ADG19007u_165"	"ADG19007u_166"	"ADG19007u_167"	"ADG19007u_191"	"ADG19007u_192"	"ADG19007u_193"	"ADG19007u_194"	"ADG19007u_195"	"ADG19007u_196"	"ADG19007u_197"	"ADG19007u_241"	"ADG19007u_242"	"ADG19007u_243"	"ADG19007u_244"	"ADG19007u_245"	"ADG19007u_246"	"ADG19007u_247"	"ADG19007u_281"	"ADG19007u_282"	"ADG19007u_283"	"ADG19007u_284"	"ADG19007u_285"	"ADG19007u_286"	"ADG19007u_287"	"ADG19007u_301"	"ADG19007u_302"	"ADG19007u_303"	"ADG19007u_304"	"ADG19007u_305"	"ADG19007u_306"	"ADG19007u_307"	"ADG19007u_351"	"ADG19007u_352"	"ADG19007u_353"	"ADG19007u_354"	"ADG19007u_355"	"ADG19007u_356"	"ADG19007u_357"	"ADG19007u_401"	"ADG19007u_402"	"ADG19007u_403"	"ADG19007u_404"	"ADG19007u_405"	"ADG19007u_406"	"ADG19007u_407"	"ADG19007u_431"	"ADG19007u_432"	"ADG19007u_433"	"ADG19007u_434"	"ADG19007u_435"	"ADG19007u_436"	"ADG19007u_437"	"ADG19007u_471"	"ADG19007u_472"	"ADG19007u_473"	"ADG19007u_474"	"ADG19007u_475"	"ADG19007u_476"	"ADG19007u_477"
"CHEBI:64390"	"C8H15NO3"	"CC(C)C(C(=O)OC)NC(=O)C"	"InChI=1S/C8H15NO3/c1-5(2)7(8(11)12-4)9-6(3)10/h5,7H,1-4H3,(H,9,10)/t7-/m0/s1"	"n-caproylglycine"	"[1.55 .. 1.60]"	""	"NEWT:9606"	"Homo sapiens (Human)"	""	""	"2:less poor reliability"	""	""	""	""	""	""	"0.73208"	"0.70256"	"0.89675"	"0.77247"	"0.77468"	"0.81579"	"0.75435"	"0.79053"	"0.90119"	"0.65516"	"0.74594"	"0.81728"	"0.82043"	"0.8876"	"0.86866"	"0.63096"	"0.54107"	"0.87005"	"0.7785"	"0.7581"	"0.75042"	"0.72748"	"0.6956"	"0.68488"	"1.0635"	"0.77051"	"0.92085"	"0.76402"	"0.82633"	"1.414"	"0.99928"	"0.74796"	"0.71007"	"0.64359"	"0.86667"	"0.78245"	"0.71791"	"1.1668"	"0.91196"	"0.86959"	"0.75421"	"0.86744"	"0.71325"	"0.72582"	"0.74876"	"0.70189"	"0.73282"	"0.77628"	"0.8912"	"0.89112"	"0.88025"	"0.73485"	"0.7407"	"0.80901"	"0.83016"	"0.93545"	"0.86449"	"0.95345"	"0.68477"	"0.84066"	"0.8089"	"0.80164"	"0.73723"	"0.75012"	"0.68243"	"0.84393"	"0.72338"	"0.77664"	"0.72191"	"0.71499"	"0.86913"	"0.87094"	"0.71704"	"0.7442"	"0.82866"	"0.77304"	"0.78657"	"0.74817"	"0.95421"	"0.75976"	"0.66599"	"0.76029"	"0.95484"	"0.92289"	"1.0115"	"0.98438"	"0.80586"	"0.68277"	"0.84126"	"0.73647"	"0.77417"	"0.82735"	"0.83619"	"0.86534"	"0.95894"	"0.99308"	"0.81711"	"0.75523"	"0.82919"	"0.87096"	"0.93108"	"0.83785"	"0.90854"	"0.88928"	"0.71512"	"0.7403"	"0.8179"	"0.74186"	"0.65907"	"0.78584"	"0.84023"	"0.79301"	"0.77477"	"0.83377"	"0.84715"	"0.72923"	"0.77396"	"0.69753"	"0.91766"	"0.90299"	"0.89035"	"1.008"	"0.95789"	"1.0898"	"1.0837"	"0.8953"	"0.908"	"0.94566"	"0.86435"	"0.85361"	"1.0354"	"0.75428"
""	""	""	""	""	"[1.60 .. 1.63]"	""	"NEWT:9606"	"Homo sapiens (Human)"	""	""	""	""	""	""	""	""	""	"0.25396"	"0.23802"	"0.29807"	"0.23572"	"0.28813"	"0.31614"	"0.30084"	"0.2555"	"0.23977"	"0.23702"	"0.25147"	"0.27411"	"0.28844"	"0.29109"	"0.30055"	"0.21242"	"0.18058"	"0.26189"	"0.26256"	"0.26212"	"0.26088"	"0.19747"	"0.19869"	"0.2717"	"0.38373"	"0.28826"	"0.2841"	"0.2499"	"0.2864"	"0.41638"	"0.31194"	"0.26478"	"0.26293"	"0.22744"	"0.29878"	"0.26944"	"0.23856"	"0.34526"	"0.28888"	"0.26787"	"0.24073"	"0.26866"	"0.2472"	"0.25214"	"0.25729"	"0.23375"	"0.25794"	"0.29637"	"0.29327"	"0.29335"	"0.28466"	"0.25097"	"0.26632"	"0.27094"	"0.29146"	"0.30195"	"0.28691"	"0.28901"	"0.23664"	"0.26698"	"0.25343"	"0.36372"	"0.23907"	"0.26026"	"0.22535"	"0.24407"	"0.22977"	"0.23103"	"0.24803"	"0.26348"	"0.29674"	"0.30787"	"0.26296"	"0.26869"	"0.27757"	"0.293"	"0.26314"	"0.25222"	"0.2961"	"0.25318"	"0.23708"	"0.2581"	"0.28531"	"0.2843"	"0.2909"	"0.28196"	"0.25145"	"0.2163"	"0.26117"	"0.24788"	"0.27015"	"0.28397"	"0.27979"	"0.25708"	"0.28333"	"0.28517"	"0.28377"	"0.24262"	"0.26247"	"0.26025"	"0.24295"	"0.2518"	"0.2758"	"0.27398"	"0.2134"	"0.22217"	"0.23827"	"0.23891"	"0.20635"	"0.2416"	"0.26122"	"0.24978"	"0.25412"	"0.2646"	"0.28544"	"0.25366"	"0.25957"	"0.23895"	"0.2776"	"0.28543"	"0.27374"	"0.29788"	"0.29536"	"0.30688"	"0.29994"	"0.28014"	"0.29787"	"0.2557"	"0.22385"	"0.23376"	"0.27431"	"0.25337"
"CID638154"	"C8H15NO3"	"CC(C)C(C(=O)OC)NC(=O)C"	"InChI=1S/C8H15NO3/c1-5(2)7(8(11)12-4)9-6(3)10/h5,7H,1-4H3,(H,9,10)/t7-/m0/s1"	"methyl N-acetylvalinate"	"[1.63 .. 1.65]"	""	"NEWT:9606"	"Homo sapiens (Human)"	""	""	""	""	""	""	""	""	""	"0.3847"	"0.3483"	"0.40943"	"0.34607"	"0.41106"	"0.42268"	"0.41471"	"0.37975"	"0.35553"	"0.32811"	"0.36972"	"0.39333"	"0.40987"	"0.40491"	"0.42789"	"0.2897"	"0.26205"	"0.33139"	"0.3553"	"0.34605"	"0.33817"	"0.28434"	"0.27121"	"0.36192"	"0.51677"	"0.38219"	"0.39974"	"0.35112"	"0.40098"	"0.56189"	"0.40932"	"0.38002"	"0.36122"	"0.32083"	"0.40158"	"0.34491"	"0.33421"	"0.46795"	"0.40472"	"0.39135"	"0.34644"	"0.35665"	"0.34935"	"0.35876"	"0.36951"	"0.32203"	"0.3871"	"0.40992"	"0.40581"	"0.43412"	"0.40806"	"0.35619"	"0.38997"	"0.37348"	"0.43516"	"0.38707"	"0.36384"	"0.3799"	"0.33372"	"0.36249"	"0.35658"	"0.35736"	"0.35319"	"0.37175"	"0.32005"	"0.36101"	"0.34711"	"0.33294"	"0.34053"	"0.34289"	"0.405"	"0.40612"	"0.35591"	"0.36502"	"0.36223"	"0.40352"	"0.3724"	"0.3595"	"0.40956"	"0.36269"	"0.34502"	"0.36921"	"0.38682"	"0.38779"	"0.40752"	"0.45781"	"0.43435"	"0.41612"	"0.4253"	"0.40053"	"0.36553"	"0.37367"	"0.38808"	"0.3633"	"0.38732"	"0.37886"	"0.37737"	"0.3402"	"0.35621"	"0.34672"	"0.32462"	"0.35972"	"0.36857"	"0.37572"	"0.29899"	"0.31946"	"0.34437"	"0.34392"	"0.30236"	"0.3315"	"0.38353"	"0.33322"	"0.35611"	"0.36394"	"0.39274"	"0.37778"	"0.37795"	"0.31932"	"0.37092"	"0.39186"	"0.36906"	"0.39307"	"0.40475"	"0.3968"	"0.4009"	"0.39331"	"0.40877"	"0.34752"	"0.30419"	"0.32761"	"0.37339"	"0.31993"
""	""	""	""	""	"[1.65 .. 1.70]"	""	"NEWT:9606"	"Homo sapiens (Human)"	""	""	""	""	""	""	""	""	""	"0.65246"	"0.65921"	"0.80188"	"0.58469"	"0.76662"	"0.79849"	"0.80019"	"0.65899"	"0.61609"	"0.53873"	"0.7292"	"0.78857"	"0.80648"	"0.78513"	"0.81383"	"0.54828"	"0.53641"	"0.65837"	"0.76231"	"0.73927"	"0.76517"	"0.54403"	"0.58483"	"0.69469"	"0.88608"	"0.73891"	"0.75498"	"0.71382"	"0.805"	"1.0133"	"0.81573"	"0.68586"	"0.6734"	"0.56972"	"0.75863"	"0.64352"	"0.6686"	"0.82152"	"0.78758"	"0.88645"	"0.7749"	"0.72506"	"0.67114"	"0.6749"	"0.69222"	"0.66631"	"0.68946"	"0.73782"	"0.81263"	"0.90109"	"0.91563"	"0.72365"	"0.71124"	"0.78803"	"1.0465"	"0.78783"	"0.73945"	"0.91634"	"0.64786"	"0.73503"	"0.74054"	"0.69386"	"0.71781"	"0.77246"	"0.70796"	"0.67927"	"0.66263"	"0.7337"	"0.67158"	"0.6665"	"0.76885"	"0.81659"	"0.6993"	"0.68549"	"0.75393"	"0.73626"	"0.82153"	"0.79679"	"1.0691"	"0.81155"	"0.74992"	"0.88764"	"1.0935"	"0.7372"	"0.7619"	"0.85075"	"0.85187"	"0.84556"	"0.87097"	"0.79644"	"0.71425"	"0.74268"	"0.7531"	"0.66758"	"0.71403"	"0.74944"	"0.7939"	"0.70179"	"0.81765"	"0.75612"	"0.68719"	"0.70626"	"0.77947"	"0.7646"	"0.59412"	"0.59489"	"0.67539"	"0.67899"	"0.57132"	"0.66205"	"0.97567"	"0.65211"	"0.64669"	"0.69512"	"0.74013"	"0.68001"	"0.69974"	"0.64331"	"0.80342"	"0.95731"	"0.93946"	"0.77952"	"0.7615"	"0.81918"	"0.95482"	"0.76799"	"0.83078"	"0.75719"	"0.66845"	"0.66668"	"0.76326"	"0.64993"
"CHEBI:25017"	"C6H13NO2"	"CC(C)CC(C(=O)O)N"	"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)"	"leucine"	"[1.70 .. 1.76]"	"m 1.71"	"NEWT:9606"	"Homo sapiens (Human)"	""	""	"4:good reliability"	""	""	""	""	""	""	"0.81551"	"1.122"	"0.94224"	"1.0041"	"2.2351"	"1.9276"	"1.5842"	"0.7873"	"0.7189"	"0.69004"	"0.70844"	"0.92721"	"1.2994"	"0.89749"	"0.93569"	"0.64048"	"0.59688"	"0.67155"	"0.95591"	"1.0699"	"0.92724"	"0.57067"	"0.5389"	"0.72694"	"0.94239"	"0.80143"	"0.81831"	"0.76907"	"0.8887"	"1.1194"	"0.98434"	"0.86031"	"0.88397"	"0.91083"	"0.82117"	"0.74422"	"0.83219"	"0.95578"	"0.9212"	"1.2344"	"0.82653"	"0.89545"	"0.97212"	"0.88094"	"0.85269"	"0.74112"	"0.82163"	"0.8334"	"0.91643"	"0.94686"	"0.88197"	"0.76446"	"0.81687"	"0.87652"	"0.78839"	"0.91562"	"0.84592"	"0.9007"	"0.72484"	"0.8074"	"0.77866"	"0.80369"	"0.89139"	"0.94077"	"0.80605"	"1.0136"	"1.0258"	"0.96542"	"0.88004"	"0.73702"	"1.0546"	"0.94356"	"0.78771"	"0.99268"	"0.95068"	"1.1075"	"0.92059"	"0.9751"	"1.0529"	"0.80269"	"0.84915"	"0.96325"	"0.91692"	"1.2371"	"1.2741"	"1.2665"	"1.0019"	"1.0944"	"1.0694"	"0.93081"	"0.89974"	"0.97683"	"0.96077"	"1.1137"	"1.2369"	"1.2081"	"0.87453"	"0.81967"	"0.95818"	"0.97971"	"0.94981"	"1.0543"	"1.0405"	"1.0413"	"0.78253"	"0.87971"	"0.87142"	"0.77831"	"0.80757"	"0.82212"	"1.0115"	"0.75933"	"0.85762"	"0.91434"	"0.84157"	"0.84616"	"0.8463"	"0.84726"	"1.0059"	"1.1354"	"0.96875"	"1.1107"	"1.246"	"1.2654"	"0.92485"	"1.1271"	"1.386"	"1.2836"	"1.1043"	"1.237"	"1.4004"	"0.8646"
"CHEBI:25094"	"C6H14N2O2"	"CC(CCCN)(C(=O)O)N"	"InChI=1S/C6H14N2O2/c1-6(8,5(9)10)3-2-4-7/h2-4,7-8H2,1H3,(H,9,10)"	"lysine"	"[1.70 .. 1.76]"	"m 1.73"	"NEWT:9606"	"Homo sapiens (Human)"	""	""	"4:good reliability"	""	""	""	""	""	""	"0.81551"	"1.122"	"0.94224"	"1.0041"	"2.2351"	"1.9276"	"1.5842"	"0.7873"	"0.7189"	"0.69004"	"0.70844"	"0.92721"	"1.2994"	"0.89749"	"0.93569"	"0.64048"	"0.59688"	"0.67155"	"0.95591"	"1.0699"	"0.92724"	"0.57067"	"0.5389"	"0.72694"	"0.94239"	"0.80143"	"0.81831"	"0.76907"	"0.8887"	"1.1194"	"0.98434"	"0.86031"	"0.88397"	"0.91083"	"0.82117"	"0.74422"	"0.83219"	"0.95578"	"0.9212"	"1.2344"	"0.82653"	"0.89545"	"0.97212"	"0.88094"	"0.85269"	"0.74112"	"0.82163"	"0.8334"	"0.91643"	"0.94686"	"0.88197"	"0.76446"	"0.81687"	"0.87652"	"0.78839"	"0.91562"	"0.84592"	"0.9007"	"0.72484"	"0.8074"	"0.77866"	"0.80369"	"0.89139"	"0.94077"	"0.80605"	"1.0136"	"1.0258"	"0.96542"	"0.88004"	"0.73702"	"1.0546"	"0.94356"	"0.78771"	"0.99268"	"0.95068"	"1.1075"	"0.92059"	"0.9751"	"1.0529"	"0.80269"	"0.84915"	"0.96325"	"0.91692"	"1.2371"	"1.2741"	"1.2665"	"1.0019"	"1.0944"	"1.0694"	"0.93081"	"0.89974"	"0.97683"	"0.96077"	"1.1137"	"1.2369"	"1.2081"	"0.87453"	"0.81967"	"0.95818"	"0.97971"	"0.94981"	"1.0543"	"1.0405"	"1.0413"	"0.78253"	"0.87971"	"0.87142"	"0.77831"	"0.80757"	"0.82212"	"1.0115"	"0.75933"	"0.85762"	"0.91434"	"0.84157"	"0.84616"	"0.8463"	"0.84726"	"1.0059"	"1.1354"	"0.96875"	"1.1107"	"1.246"	"1.2654"	"0.92485"	"1.1271"	"1.386"	"1.2836"	"1.1043"	"1.237"	"1.4004"	"0.8646"
""	""	""	""	""	"[1.76 .. 1.81]"	""	"NEWT:9606"	"Homo sapiens (Human)"	""	""	""	""	""	""	""	""	""	"0.87258"	"0.75559"	"0.76827"	"0.64844"	"0.77944"	"0.91591"	"0.87492"	"0.67695"	"0.6131"	"0.54615"	"0.63049"	"0.6898"	"0.83459"	"0.94212"	"0.89372"	"0.54536"	"0.53104"	"0.59385"	"0.86811"	"0.80562"	"0.88896"	"0.50267"	"0.51958"	"0.6597"	"0.79717"	"0.76498"	"0.86358"	"0.72297"	"0.82656"	"1.0203"	"0.99481"	"0.71929"	"0.74896"	"0.6844"	"0.79905"	"0.66097"	"0.69111"	"0.79539"	"0.73735"	"0.99661"	"0.8812"	"0.76662"	"0.61912"	"0.66183"	"0.6468"	"0.76339"	"0.77171"	"0.80806"	"0.72558"	"0.8089"	"0.87688"	"0.68098"	"0.74778"	"0.81225"	"1.0125"	"0.79681"	"0.82309"	"1.0022"	"0.65796"	"0.8747"	"0.82121"	"0.67908"	"0.76005"	"0.94696"	"0.79652"	"0.71356"	"0.84033"	"0.84701"	"0.64218"	"0.67348"	"0.82312"	"0.84676"	"0.65801"	"0.72559"	"0.78842"	"0.95274"	"0.86268"	"0.96357"	"1.379"	"0.85413"	"0.87189"	"1.0761"	"1.4487"	"0.84743"	"0.9468"	"1.0839"	"1.1312"	"1.1711"	"1.1649"	"0.90156"	"0.67065"	"0.74369"	"0.72648"	"0.64629"	"0.78002"	"0.77121"	"0.75678"	"0.72081"	"0.97464"	"0.84215"	"0.72674"	"0.805"	"0.89284"	"0.78068"	"0.61647"	"0.66637"	"0.75718"	"0.72032"	"0.69054"	"0.77771"	"0.79796"	"0.67137"	"0.75801"	"0.7721"	"0.75909"	"0.74638"	"0.80324"	"0.65561"	"0.82053"	"1.2315"	"1.1598"	"0.78741"	"0.87347"	"0.89169"	"1.1107"	"0.77681"	"0.89798"	"0.78554"	"0.66268"	"0.65835"	"0.74721"	"0.62607"
"CHEBI:18257"	"C5H12N2O2"	"C(CC(C(=O)O)N)CN"	"InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m0/s1"	"ornithine"	"[1.81 .. 1.87]"	"m 1.81"	"NEWT:9606"	"Homo sapiens (Human)"	""	""	"2:less poor reliability"	""	""	""	""	""	""	"0.82279"	"0.77278"	"0.86266"	"0.89761"	"0.80684"	"0.9581"	"0.95247"	"0.81417"	"0.73094"	"0.63798"	"0.76946"	"0.85639"	"0.95474"	"0.93498"	"0.85617"	"0.76439"	"0.96631"	"0.87706"	"0.91316"	"0.94898"	"0.89358"	"0.8029"	"0.88868"	"1.0904"	"1.0924"	"1.08"	"0.97456"	"0.85636"	"1.0217"	"1.1601"	"1.1247"	"0.87286"	"0.92063"	"0.81435"	"0.84119"	"0.80129"	"0.79446"	"0.91762"	"0.82453"	"0.86354"	"0.70884"	"0.88944"	"0.81881"	"0.85192"	"0.82686"	"0.84433"	"0.88452"	"0.91403"	"0.82704"	"0.84824"	"0.86426"	"0.77115"	"0.82825"	"0.89159"	"0.81447"	"0.90454"	"0.82079"	"0.92487"	"0.75249"	"0.89299"	"0.92083"	"0.83079"	"0.7973"	"0.80217"	"0.82521"	"0.81804"	"0.75578"	"0.87508"	"0.73026"	"0.83927"	"0.89162"	"1.0469"	"0.79723"	"0.76751"	"0.97402"	"0.99776"	"0.82706"	"0.82319"	"0.92765"	"0.85971"	"0.84649"	"0.97623"	"0.88631"	"0.88434"	"0.91928"	"1.0748"	"1.0842"	"1.0237"	"1.1768"	"0.95418"	"0.84169"	"0.86366"	"0.91449"	"0.78648"	"0.88644"	"0.96388"	"0.91625"	"0.8113"	"0.87286"	"0.90822"	"0.85164"	"0.84735"	"1.0309"	"0.90263"	"0.8165"	"0.79214"	"0.88891"	"0.92806"	"0.75262"	"0.907"	"0.8497"	"0.80668"	"0.83758"	"0.90067"	"0.90212"	"0.83067"	"1.0149"	"0.83991"	"0.97701"	"0.93937"	"0.91264"	"0.90158"	"0.92695"	"0.99727"	"0.96158"	"0.87804"	"0.87977"	"0.89687"	"0.832"	"0.75343"	"0.87466"	"0.72853"
"CHEBI:66922"	"C6H12N3O3-"	"C(CC(C(=O)[O-])N)CNC(=O)N"	"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/p-1"	"citrullinate"	"[1.81 .. 1.87]"	"m 1.88"	"NEWT:9606"	"Homo sapiens (Human)"	""	""	"2:less poor reliability"	""	""	""	""	""	""	"0.82279"	"0.77278"	"0.86266"	"0.89761"	"0.80684"	"0.9581"	"0.95247"	"0.81417"	"0.73094"	"0.63798"	"0.76946"	"0.85639"	"0.95474"	"0.93498"	"0.85617"	"0.76439"	"0.96631"	"0.87706"	"0.91316"	"0.94898"	"0.89358"	"0.8029"	"0.88868"	"1.0904"	"1.0924"	"1.08"	"0.97456"	"0.85636"	"1.0217"	"1.1601"	"1.1247"	"0.87286"	"0.92063"	"0.81435"	"0.84119"	"0.80129"	"0.79446"	"0.91762"	"0.82453"	"0.86354"	"0.70884"	"0.88944"	"0.81881"	"0.85192"	"0.82686"	"0.84433"	"0.88452"	"0.91403"	"0.82704"	"0.84824"	"0.86426"	"0.77115"	"0.82825"	"0.89159"	"0.81447"	"0.90454"	"0.82079"	"0.92487"	"0.75249"	"0.89299"	"0.92083"	"0.83079"	"0.7973"	"0.80217"	"0.82521"	"0.81804"	"0.75578"	"0.87508"	"0.73026"	"0.83927"	"0.89162"	"1.0469"	"0.79723"	"0.76751"	"0.97402"	"0.99776"	"0.82706"	"0.82319"	"0.92765"	"0.85971"	"0.84649"	"0.97623"	"0.88631"	"0.88434"	"0.91928"	"1.0748"	"1.0842"	"1.0237"	"1.1768"	"0.95418"	"0.84169"	"0.86366"	"0.91449"	"0.78648"	"0.88644"	"0.96388"	"0.91625"	"0.8113"	"0.87286"	"0.90822"	"0.85164"	"0.84735"	"1.0309"	"0.90263"	"0.8165"	"0.79214"	"0.88891"	"0.92806"	"0.75262"	"0.907"	"0.8497"	"0.80668"	"0.83758"	"0.90067"	"0.90212"	"0.83067"	"1.0149"	"0.83991"	"0.97701"	"0.93937"	"0.91264"	"0.90158"	"0.92695"	"0.99727"	"0.96158"	"0.87804"	"0.87977"	"0.89687"	"0.832"	"0.75343"	"0.87466"	"0.72853"
""	""	""	""	""	"[1.87 .. 1.89]"	""	"NEWT:9606"	"Homo sapiens (Human)"	""	""	""	""	""	""	""	""	""	"0.32045"	"0.33444"	"0.32586"	"0.29122"	"0.50174"	"0.49884"	"0.41283"	"0.32132"	"0.28199"	"0.23794"	"0.30811"	"0.36267"	"0.44994"	"0.35625"	"0.33187"	"0.2554"	"0.2344"	"0.26829"	"0.33568"	"0.32424"	"0.33253"	"0.28755"	"0.34406"	"0.40102"	"0.41799"	"0.38802"	"0.39297"	"0.3451"	"0.41036"	"0.42859"	"0.39863"	"0.33156"	"0.35109"	"0.36142"	"0.34728"	"0.27275"	"0.31021"	"0.33499"	"0.32871"	"0.42751"	"0.28888"	"0.32349"	"0.34614"	"0.34315"	"0.33607"	"0.2983"	"0.30198"	"0.3195"	"0.30252"	"0.32543"	"0.32358"	"0.26552"	"0.30818"	"0.32961"	"0.2771"	"0.38534"	"0.3574"	"0.3816"	"0.34424"	"0.39237"	"0.38299"	"0.34846"	"0.32405"	"0.35642"	"0.33167"	"0.31859"	"0.34116"	"0.34549"	"0.338"	"0.36321"	"0.41779"	"0.42194"	"0.34605"	"0.358"	"0.38935"	"0.32751"	"0.36406"	"0.36592"	"0.38963"	"0.38031"	"0.38321"	"0.44987"	"0.3342"	"0.36128"	"0.37331"	"0.36276"	"0.35407"	"0.34765"	"0.4144"	"0.39734"	"0.30756"	"0.31762"	"0.33114"	"0.30434"	"0.34573"	"0.37065"	"0.29581"	"0.31991"	"0.34016"	"0.35208"	"0.3218"	"0.3437"	"0.391"	"0.28621"	"0.3321"	"0.3442"	"0.37007"	"0.36261"	"0.34098"	"0.35658"	"0.35831"	"0.29921"	"0.33014"	"0.35108"	"0.32536"	"0.33282"	"0.37549"	"0.31109"	"0.34742"	"0.39504"	"0.34241"	"0.33768"	"0.39153"	"0.38986"	"0.35307"	"0.34063"	"0.39006"	"0.3523"	"0.34949"	"0.33702"	"0.36621"	"0.32444"
"CHEBI:30089"	"C2H3O2-"	"CC(=O)[O-].CC(=O)[O-].[Cu+2]"	"InChI=1S/2C2H4O2.Cu/c2*1-2(3)4;/h2*1H3,(H,3,4);/q;;+2/p-2"	"acetate"	"[1.89 .. 1.95]"	"s 1.92"	"NEWT:9606"	"Homo sapiens (Human)"	""	""	"4:good reliability"	""	""	""	""	""	""	"3.6244"	"1.5746"	"1.3951"	"1.4541"	"2.6455"	"2.3463"	"1.9138"	"1.5555"	"1.6188"	"1.3513"	"1.189"	"1.4804"	"1.9384"	"1.5421"	"1.3364"	"1.2873"	"1.0993"	"1.2649"	"2.0387"	"1.9516"	"2.0265"	"1.326"	"1.2167"	"1.2454"	"1.7121"	"1.2502"	"1.6488"	"1.4752"	"1.7034"	"1.7501"	"1.8844"	"1.726"	"1.8124"	"1.825"	"1.517"	"1.4077"	"1.7304"	"1.7038"	"1.5356"	"2.3128"	"2.3241"	"2.0389"	"1.846"	"1.5613"	"1.6381"	"1.6243"	"1.7691"	"1.9445"	"1.3028"	"1.4702"	"1.3872"	"1.4351"	"1.5065"	"1.3198"	"1.2697"	"1.517"	"1.6234"	"1.5917"	"1.6084"	"1.8984"	"1.6227"	"1.3046"	"1.5383"	"1.7479"	"1.4807"	"1.5641"	"1.6534"	"1.4609"	"1.4789"	"1.1557"	"1.594"	"1.3381"	"1.3163"	"1.533"	"1.3778"	"1.5404"	"1.4298"	"1.6118"	"1.584"	"1.2058"	"1.3648"	"1.6907"	"1.2422"	"1.7469"	"1.6536"	"1.6281"	"1.5058"	"1.6106"	"1.6961"	"1.4656"	"1.3236"	"1.4236"	"1.4529"	"1.2454"	"1.3905"	"1.391"	"1.4427"	"1.3094"	"1.4405"	"1.4704"	"1.1753"	"1.3495"	"1.4683"	"1.4045"	"1.4434"	"1.8633"	"1.9677"	"1.6598"	"1.8492"	"1.9263"	"1.3501"	"1.1837"	"1.4279"	"1.4636"	"1.5158"	"1.5246"	"1.5895"	"1.5586"	"1.612"	"1.7509"	"1.6369"	"1.4739"	"1.6699"	"1.6477"	"1.3986"	"1.6056"	"1.8706"	"1.3989"	"1.2036"	"1.2633"	"1.3695"	"1.3919"
